strain,date,region,country,division,location,region_exposure,country_exposure,division_exposure,host,Nextstrain_clade,pango_lineage,clade_nextstrain,clade_who,Nextclade_pango,originating_lab,submitting_lab
USA/WA-BVAMC-741836/2021,2021-07-19,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21I (Delta),AY.47,21I,Delta,AY.47,Idaho Bureau of Laboratories,"Boise VA Medical Center, PALMS"
USA/WA-FIL-0684-NU-1/2020,2020-04-25,North America,USA,Washington,King County WA,North America,USA,Washington,Human,20C,B.1,20C,,B.1.371,Fidalab,Hyde Lab
USA/WA-NM-15675/2021,2021-12-23,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.20,21K,Omicron,BA.1.20,Northwestern Memorial Hospital,Northwestern University - Center for Pathogen Genomics and Microbial Evolution
USA/WA-NM-27605/2022,2022-04-07,North America,USA,Washington,King County WA,North America,USA,Washington,Human,22C (Omicron),BA.2.12.1,22C,Omicron,BA.2.12.1,Northwestern Memorial Hospital,Northwestern University - Center for Pathogen Genomics and Microbial Evolution
USA/WA-NM-27936/2022,2022-04-14,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.12,21L,Omicron,BA.2,Northwestern Memorial Hospital,Northwestern University - Center for Pathogen Genomics and Microbial Evolution
USA/WA-OHSU-1611/2020,2020-07-21,North America,USA,Washington,King County WA,North America,USA,Washington,Human,20A,B.1.240,20A,,B.1.240,OHSU Lab Services Molecular Microbiology Lab,Oregon SARS-CoV-2 Genome Sequencing Center
USA/WA-OHSU-222490353/2022,2022-05-10,North America,USA,Washington,King County WA,North America,USA,Washington,Human,22C (Omicron),BA.2.12.1,22C,Omicron,BA.2.12.1,OHSU MM Lab,OHSU MM Lab
USA/WA-OHSU-4366/2020,2020-11-04,North America,USA,Washington,King County WA,North America,USA,Washington,Human,20G,B.1.2,20G,,B.1.2,OHSU Lab Services Molecular Microbiology Lab,Ginkgo Bioworks Clinical Laboratory
USA/WA-OHSU-9535/2021,2021-01-08,North America,USA,Washington,King County WA,North America,USA,Washington,Human,20A,B.1.561,20A,,B.1.561,OHSU Lab Services Molecular Microbiology Lab,Oregon SARS-CoV-2 Genome Sequencing Center
USA/WA-PHL-000151/2021,2021-03-23,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21C (Epsilon),B.1.429,21C,Epsilon,B.1.429,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000194/2021,2021-03-22,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",B.1.1.7,20I,Alpha,B.1.1.7,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000198/2021,2021-03-24,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",B.1.1.7,20I,Alpha,B.1.1.7,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000210/2021,2021-03-24,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",B.1.1.7,20I,Alpha,B.1.1.7,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000215/2021,2021-03-28,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",B.1.1.7,20I,Alpha,B.1.1.7,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000216/2021,2021-03-28,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",B.1.1.7,20I,Alpha,B.1.1.7,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000218/2021,2021-03-24,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21C (Epsilon),B.1.429,21C,Epsilon,B.1.429,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000255/2021,2021-03-23,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",Q.3,20I,Alpha,Q.3,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000293/2021,2021-03-25,North America,USA,Washington,King County WA,North America,USA,Washington,Human,20G,B.1.2,20G,,B.1.2,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000297/2021,2021-03-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21C (Epsilon),B.1.429,21C,Epsilon,B.1.429,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000299/2021,2021-03-21,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",B.1.1.7,20I,Alpha,B.1.1.7,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000304/2021,2021-03-27,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21C (Epsilon),B.1.429,21C,Epsilon,B.1.429,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000350/2021,2021-03-25,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",B.1.1.7,20I,Alpha,B.1.1.7,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000363/2021,2021-04-01,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",Q.3,20I,Alpha,Q.3,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000364/2021,2021-04-01,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21C (Epsilon),B.1.429,21C,Epsilon,B.1.429,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000374/2021,2021-03-24,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21C (Epsilon),B.1.429,21C,Epsilon,B.1.429,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000391/2021,2021-04-01,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20J (Gamma, V3)",P.1.17,20J,Gamma,P.1.17,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000392/2021,2021-04-01,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21C (Epsilon),B.1.429,21C,Epsilon,B.1.429,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000419/2021,2021-04-12,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21C (Epsilon),B.1.429,21C,Epsilon,B.1.429,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000421/2021,2021-04-06,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21C (Epsilon),B.1.429,21C,Epsilon,B.1.429,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000460/2021,2021-04-14,North America,USA,Washington,King County WA,North America,USA,Washington,Human,20G,B.1.2,20G,,B.1.2,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000461/2021,2021-04-14,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",B.1.1.7,20I,Alpha,B.1.1.7,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000473/2021,2021-04-13,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",B.1.1.7,20I,Alpha,B.1.1.7,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000480/2021,2021-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",Q.3,20I,Alpha,Q.3,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000483/2021,2021-04-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21D (Eta),B.1.525,21D,Eta,B.1.525,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000484/2021,2021-04-07,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20J (Gamma, V3)",P.1.17,20J,Gamma,P.1.17,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000485/2021,2021-04-17,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",Q.3,20I,Alpha,Q.3,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000486/2021,2021-04-19,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",Q.3,20I,Alpha,Q.3,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000500/2021,2021-04-07,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20J (Gamma, V3)",P.1.17,20J,Gamma,P.1.17,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000501/2021,2021-04-12,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",B.1.1.7,20I,Alpha,B.1.1.7,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000503/2021,2021-04-17,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",B.1.1.7,20I,Alpha,B.1.1.7,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000538/2021,2021-04-21,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20J (Gamma, V3)",P.1.17,20J,Gamma,P.1.17,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000539/2021,2021-04-13,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20J (Gamma, V3)",P.1.17,20J,Gamma,P.1.17,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000540/2021,2021-04-14,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20J (Gamma, V3)",P.1.17,20J,Gamma,P.1.17,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000541/2021,2021-04-14,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20J (Gamma, V3)",P.1.17,20J,Gamma,P.1.17,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000548/2021,2021-04-13,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",B.1.1.7,20I,Alpha,B.1.1.7,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000549/2021,2021-04-09,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",Q.3,20I,Alpha,Q.3,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000558/2021,2021-04-22,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21F (Iota),B.1.526,21F,Iota,B.1.526,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000564/2021,2021-04-23,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21F (Iota),B.1.526,21F,Iota,B.1.526,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000594/2021,2021-04-21,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",Q.3,20I,Alpha,Q.3,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000596/2021,2021-04-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21C (Epsilon),B.1.429,21C,Epsilon,B.1.429,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000599/2021,2021-04-13,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",Q.3,20I,Alpha,Q.3,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000619/2021,2021-04-24,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20J (Gamma, V3)",Unassigned,20J,Gamma,P.1.17,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000631/2021,2021-04-29,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21H (Mu),B.1.621,21H,Mu,B.1.621,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000632/2021,2021-04-29,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",Q.3,20I,Alpha,Q.3,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000636/2021,2021-04-14,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21C (Epsilon),B.1.429,21C,Epsilon,B.1.429,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000656/2021,2021-04-23,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",B.1.1.7,20I,Alpha,B.1.1.7,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000662/2021,2021-04-21,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20J (Gamma, V3)",P.1,20J,Gamma,P.1,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000665/2021,2021-04-27,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21J (Delta),B.1.617.2,21J,Delta,B.1.617.2,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000668/2021,2021-04-19,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20J (Gamma, V3)",P.1.17,20J,Gamma,P.1.17,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000669/2021,2021-04-19,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20J (Gamma, V3)",P.1.17,20J,Gamma,P.1.17,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000670/2021,2021-04-29,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",Q.3,20I,Alpha,Q.3,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000673/2021,2021-04-19,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20J (Gamma, V3)",P.1.17,20J,Gamma,P.1.17,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000674/2021,2021-04-19,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20J (Gamma, V3)",P.1.17,20J,Gamma,P.1.17,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000689/2021,2021-05-05,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",B.1.1.7,20I,Alpha,B.1.1.7,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000712/2021,2021-05-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",Q.3,20I,Alpha,Q.3,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000716/2021,2021-04-25,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20J (Gamma, V3)",P.1.17,20J,Gamma,P.1.17,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000724/2021,2021-04-26,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21C (Epsilon),B.1.429,21C,Epsilon,B.1.429,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000725/2021,2021-04-26,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21C (Epsilon),B.1.429,21C,Epsilon,B.1.429,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000728/2021,2021-04-30,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20I (Alpha, V1)",B.1.1.7,20I,Alpha,B.1.1.7,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000729/2021,2021-05-04,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20J (Gamma, V3)",P.1.17,20J,Gamma,P.1.17,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-000730/2021,2021-05-05,North America,USA,Washington,King County WA,North America,USA,Washington,Human,"20J (Gamma, V3)",P.1.17,20J,Gamma,P.1.17,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
